,level_0,index,Unnamed: 0,STAR,CONTENT,index,NAME,index,번역
0,108,108,108,5.0,a great market with plenty of stores to get whatever you need you can literally spend hours here,,,0,필요한 모든 것을 얻을 수있는 많은 상점이있는 훌륭한 시장은 말 그대로 여기에서 몇 시간을 보낼 수 있습니다.
1,112,112,112,4.0, seoul city hall seoul station and myeongdong it has a long history as a traditional market in korea and namdaemun the national treasure no 1 namdaemun market has souvenirs various wholesale and retail stores ,,,1,서울특별시청 서울역과 명동 한국의 전통시장으로 오랜 역사를 가지고 있는 남대문 국보 1호 남대문시장에는 각종 기념품이 입점해 있는 도소매점
2,181,181,181,3.0, the shop for tourists is for corona many stores are not open ,,,2,관광객을위한 가게는 코로나 때문에 많은 상점이 열리지 않습니다
3,209,209,209,4.0,the market feels a little dated but that may be its charm huge number of stores lined up alongside roads and alleys food options were limited when we visited on sunday afternoon fashion was a little previous generation kalguksu and bibimbap were good,,,3,시장은 좀 오래된 느낌이 들지만 그게 매력일지도. 일요일 오후에 갔을 땐 길과 골목을 따라 늘어선 수많은 가게들이 음식 선택권이 제한적이었다 패션은 약간 구세대 칼국수와 비빔밥이 좋았다
4,291,291,291,3.0,"nothing special about this particular market, probably a bit more exciting at night but none of the stores are particularly unique or interesting. i am sure you can find more lively markets out there.",,,4,이 특정 시장에 대해 특별한 것은 없습니다. 아마도 밤에 좀 더 흥미진진할 것입니다. 그러나 어떤 상점도 특별히 독특하거나 흥미롭지 않습니다. 나는 당신이 거기에서 더 활기찬 시장을 찾을 수 있다고 확신합니다.
5,313,313,313,5.0,"here you can find most of seoul famous street foods and shopping area for clothing, hats...etc, but most stores usually close earlier by 10pm.",,,5,"여기에서 서울의 유명한 길거리 음식과 의류, 모자 등의 쇼핑 지역을 찾을 수 있지만 대부분의 상점은 일반적으로 오후 10시 이전에 문을 닫습니다."
6,315,315,315,5.0,"i spent a couple of hours in namdaemun market. there are numerous small shops there. you can find many souvenirs and odds and ends there. don't forget to bargain. the vendors won't be offended by this. remember, this is not a food street. it is a place for buying/selling stuff. the prices are cheaper than those in more formal stores.",,,6,"나는 남대문 시장에서 두 시간을 보냈다. 거기에 수많은 작은 상점이 있습니다. 많은 기념품과 확률과 끝을 찾을 수 있습니다. 거래하는 것을 잊지 마십시오. 판매자는 이에 대해 화를 내지 않을 것입니다. 기억하십시오, 이것은 음식 거리가 아닙니다. 물건을 사고파는 곳입니다. 가격은 공식 상점보다 저렴합니다."
7,318,318,318,5.0,a must visit for the food. my partner tells me the shopping was overrated and expensive. may aswell ship in the stores for better quality.,,,7,음식을 위해 반드시 방문해야합니다. 내 파트너는 쇼핑이 과대 평가되고 비싸다고 말합니다. 더 나은 품질을 위해 매장에서 배송될 수도 있습니다.
8,332,332,332,3.0,"nothing much to buy here all selling the same thing, only one cart selling cheap souvenirs vs all the stores i checked out. the seller can even give me a discount since i buy more souvenirs. bought 1 dress after i asked for a discount and fixed price for other stores for 1 cardigan and 1 shirt.",,,8,여기에서 살 것이 많지는 않습니다. 모두 같은 것을 팔고 있습니다. 내가 체크 아웃 한 모든 상점과 비교하여 저렴한 기념품을 판매하는 카트는 하나뿐입니다. 판매자는 더 많은 기념품을 사기 때문에 나에게 할인을 줄 수도 있습니다. 가디건 1벌과 셔츠 1벌에 대해 다른 상점에서 할인 및 고정 가격을 요청한 후 드레스 1벌을 샀습니다.
9,338,338,338,4.0,"we walked this market a few times while we were in seoul. many vendors and stores offering overwhelmingly beauty supplies, sneakers and food etc. name it, you can find it there. we spent about an hour here the first time and kept going back. we purchased a few souvenirs, teas and makeup mask at very reasonable price.",,,9,"우리는 서울에있는 동안이 시장을 몇 번 걸었습니다. 압도적으로 미용 용품, 운동화, 식품 등을 제공하는 많은 공급업체와 상점에서 찾을 수 있습니다. 우리는 여기에서 처음으로 약 1시간을 보내고 계속 되돌아갔습니다. 우리는 매우 합리적인 가격에 몇 가지 기념품, 차 및 메이크업 마스크를 구입했습니다."
