,level_0,index,Unnamed: 0,STAR,CONTENT,index,NAME,index,번역
0,3,3,3,5.0,one of the historical palace and landmark in seoul wonderful view the palace area is really huge intricately beautiful architecture we really enjoy our time here plenty spaces to sit and relax,3,ChangDeokgung,0,서울의 역사적인 궁전이자 랜드마크 중 하나입니다 멋진 전망 궁전 지역은 정말 거대합니다 복잡하게 아름다운 건축물 우리는 여기서 우리 시간을 정말 즐깁니다 앉아서 쉴 수 있는 충분한 공간
1,65,65,65,3.0,worth a visit mainly the garden area renovating one temple so was closed,65,ChangDeokgung,1,방문할 가치가 있는 주로 정원 지역이 하나의 사원을 개조하여 폐쇄되었습니다.
2,103,103,103,5.0,"my sister had previously traveled to seoul and she told me that to her, the changdeokgung palace was the most impressive one of all palaces in seoul. yes, i agree. it is second in size after its neighbor the gyenongbokgung palace, the main palace. it is a secondary palace that was used as the main palace at times of disaster or war. as mentioned before, the main palace was gyenongbokgung.  changdeokgung is also a fully restored palace. the palace was destroyed by the japanese at the beginning of the xx century during the occupation of korea. japan wanted to get rid of any vestige of korean culture. the palace is very well restored. the main hall is monumental. the palace buildings are lovely and have a more disorganized distribution when compared with the order of the gyenongbokgung palace. the lack of order makes it charming; in some areas you will feel that you are walking through a labyrinth that surprises you at every corner. the colors of the walls and roof are phenomenal! one of the buildings preserves its original blue color roof; it is a very dark, shiny blue that is unique of korea! there are many places where you can take pictures and relax under the shade.  you need approximately 2 hours to visit the palace. once you finish, go to the secret gardens. the secret gardens belong to this palace; however, the entrance is separate and you need a different ticket. i recommend to buy the ticket that covers the 4 palaces of the joseon dinasty, the garden, and the jongmyo santuary. it is very cheap!  the place is very well labeled. i do not recommend tours to visit this place. you need to have time to enjoy it. you need freedom to enjoy it.  visit the palace in a sunny day. colors are spectacular; most of the visit is outdoors.",103,ChangDeokgung,2,"언니는 예전에 서울에 갔었는데 창덕궁이 서울에 있는 궁궐 중에서 가장 인상 깊었다고 하더군요. 그래, 난 동의. 옆에 있는 본궁인 계농복궁에 이어 두 번째로 규모가 크다. 재난이나 전쟁 시에 본궁으로 사용되었던 이차 궁궐이다. 앞에서 말했듯이 본궁은 계농복궁이었다. 창덕궁도 완전히 복원된 궁궐입니다. 궁궐은 20세기 초에 일제에 의해 조선에 의해 파괴되었다. 일본은 한국 문화의 흔적을 없애고 싶어했습니다. 궁전은 매우 잘 복원되었습니다. 메인 홀은 기념비적입니다. 궁궐의 건물들은 사랑스럽고 계농복궁의 질서에 비해 분포가 더 무질서하다. 질서의 부족은 그것을 매력적으로 만듭니다. 어떤 지역에서는 구석구석에서 당신을 놀라게 하는 미로를 걷고 있는 것처럼 느낄 것입니다. 벽과 지붕의 색상이 환상적입니다! 건물 중 하나는 원래의 파란색 지붕을 보존합니다. 그것은 한국 고유의 매우 어둡고 반짝이는 파란색입니다! 그늘 아래서 사진을 찍고 휴식을 취할 수 있는 곳이 많이 있습니다. 궁전을 방문하는 데 약 2시간이 걸립니다. 끝나면 비밀의 정원으로 가십시오. 비밀 정원은 이 궁전에 속합니다. 그러나 입구가 분리되어 다른 티켓이 필요합니다. 조선 4대 궁궐, 정원, 종묘를 모두 둘러볼 수 있는 티켓을 구입하는 것을 추천합니다. 그것은 매우 저렴합니다! 장소는 매우 잘 표시되어 있습니다. 나는이 장소를 방문하기 위해 여행을 추천하지 않습니다. 즐길 시간이 필요합니다. 그것을 즐기기 위해서는 자유가 필요합니다. 화창한 날에 궁전을 방문하십시오. 색상이 장관입니다. 대부분의 방문은 야외입니다."
3,105,105,105,5.0,"my son, husband and i decided to visit the changdeokgung palace during our visit to seoul. there are other palaces in seoul but we decided to go see this one since it is the only one that is considered a unesco heritage site and it's also within walking distance to the hangbok cultural village which is another neat thing to do.  we got an english tour guide and did a tour of the secret garden. it being february not a lot was in bloom and it'd be stunning i'm sure to go during the spring or summer when the lotus ponds and the flowers are in season. the garden takes up almost 60% of the entire area of the palace. we were told in the old days tigers would occasionally appear within the garden walls! :) the garden incorporates a lotus pond, pavilions, and landscaped lawns, trees, and flowers. there are over 26,000 specimens of a hundred different species of trees in the garden and some of the trees behind the palace are over 300 years old.  the palace was constructed in 1405, destroyed in the late 1500's by the japanese and then rebuilt in 1610 and served as the main palace for about 270 years. you can feel the history around you as you stroll.  admission is 3000 korean won which equals $3.30 canadian and also includes tickets to the gyeongbokgung palace, the deoksugung palace, the changgyeonggung palace and the jongmyo shrine. the tickets don't expire until 3 months after purchase so if you have time to go see them all it's an amazing deal. (it's an amazing deal just to get in to one!!!) :)  a must see if in seoul.",105,ChangDeokgung,3,"내 아들, 남편과 나는 서울을 방문하는 동안 창덕궁을 방문하기로 결정했습니다. 서울에 다른 궁도 있지만 유네스코 문화유산으로 지정된 유일한 궁이고 한복문화마을까지 걸어서 갈 수 있는 거리에 있어 이곳을 가보기로 했습니다. 우리는 영어 투어 가이드를 얻었고 비밀 정원을 여행했습니다. 2월이라 꽃이 많이 피지 않아서 정말 장관일 것 같아요. 연꽃 연못과 꽃이 제철인 봄이나 여름에 꼭 가봐야겠습니다. 정원은 궁전 전체 면적의 거의 60%를 차지합니다. 우리는 옛날에 호랑이가 정원 벽에 가끔 나타난다고 들었습니다! :) 정원에는 연꽃 연못, 정자, 조경된 잔디, 나무, 꽃이 있습니다. 정원에는 100여 종의 나무 표본이 26,000개가 넘고 궁전 뒤에 있는 나무 중 일부는 수령이 300년이 넘습니다. 1405년에 건립된 궁궐은 1500년대 후반에 일본군에 의해 파괴되었다가 1610년에 재건되어 약 270년 동안 본궁으로 사용되었습니다. 산책하면서 주변의 역사를 느낄 수 있습니다. 입장료는 3000원으로 캐나다 3달러 30센트이며 경복궁, 덕수궁, 창경궁, 종묘 입장권도 포함되어 있습니다. 티켓은 구매 후 3개월까지 만료되지 않으므로 시간이 있으면 모두 볼 수 있는 놀라운 거래입니다. (하나에 들어가는 것만으로도 놀라운 거래!!!) :) 서울에 있다면 꼭 봐야 합니다."
4,134,134,134,5.0,"the palace covers a large area. so be prepared to walk in comfy footwear. there are many sections of the palace to explore and a conservatory / green house and a lake. need at least a day to cover most grounds which we ran out of time as we were busy taking photos at every turn (almost!).  there is a map of the palace located in various section so you know where you are going. in total about 15 sections.  the autumn scape is of vibrant and fiery red as the maple trees / leaves change for the season. very colourful and scenic. worth a visit.  you can also hire the traditional attire - hanbok from nearby shop. we bought rented our hanbok via an app for 4-hour and it only cost us us$15 each, and also get free admission in to the palace.  if you are in seoul for a few days try this experience!",134,ChangDeokgung,4,궁전은 넓은 지역을 다룹니다. 따라서 편안한 신발을 신고 걸을 준비를 하십시오. 탐험할 궁전의 많은 부분과 온실/온실 및 호수가 있습니다. 우리가 모든 방향에서 사진을 찍느라 바빴기 때문에 (거의!) 시간이 부족한 대부분의 땅을 덮으려면 적어도 하루가 필요합니다. 여러 구역에 궁전의 지도가 있으므로 어디로 가는지 알 수 있습니다. 총 약 15 섹션. 가을 풍경은 계절에 따라 단풍나무/잎이 변화함에 따라 생동감 있고 불타는 붉은 색으로 변합니다. 매우 다채롭고 경치가 좋습니다. 방문할 가치가 있습니다. 근처 상점에서 전통 의상인 한복을 대여할 수도 있습니다. 우리는 4 시간 동안 앱을 통해 한복을 빌렸고 각각 15 달러 만 들었고 궁전도 무료로 입장 할 수있었습니다. 며칠 동안 서울에 있다면이 경험을 시도하십시오!
5,138,138,138,5.0,changdeokgung palace is a world heritage listed palace complex. it is indeed a very magnificent complex to visit and some of the inside buildings are accessible to the general public. one interesting area is the pharmacy building which has been furnished in the period of the reigning joseon royalty. there was also an area that one could experience the beauty products made for the royal ladies. it is an expansive area to visit even though some areas are under extensive renovation. an added feature were visitors and locals dressed in traditional costumes taking advantage of the historical backdrop for photo ops. these individuals dressed in traditional garments added to the enchantment of this complex. we did not pay to visit the secret garden area. none the less it was still a very magical and enjoyable visit.,138,ChangDeokgung,5,창덕궁은 세계문화유산에 등재된 궁궐이다. 방문하기에 매우 훌륭한 복합 단지이며 내부 건물 중 일부는 일반 대중이 이용할 수 있습니다. 흥미로운 지역 중 하나는 조선 왕실 시대에 가구가 갖추어진 약국 건물입니다. 왕실 여성을 위한 뷰티 제품을 체험할 수 있는 공간도 마련됐다. 일부 지역은 대대적인 보수 공사를 진행하고 있지만 방문할 수 있는 광대한 지역입니다. 추가 기능은 사진 촬영을 위해 역사적인 배경을 활용하는 전통 의상을 입은 방문객과 현지인이었습니다. 전통 의상을 입은 이 사람들은 이 복합 단지의 매력을 더했습니다. 우리는 비밀 정원 지역을 방문하기 위해 비용을 지불하지 않았습니다. 그럼에도 불구하고 여전히 매우 마술적이고 즐거운 방문이었습니다.
6,143,143,143,5.0,"well kept, great area, loved the place, best pictures to take, will enter you directly to the seoul experiance",143,ChangDeokgung,6,"잘 관리 된, 좋은 지역, 장소를 좋아하는 곳, 가장 좋은 사진을 찍을 수 있는 곳, 서울 경험으로 직접 들어갑니다."
7,160,160,160,4.0,the palace grounds are quite extensive with large ponds and a separate garden area which costs extra but worth seeing. initially you have a guide but you can leave the group to look around on your own if you want.,160,ChangDeokgung,7,궁전 부지는 추가 비용이 들지만 볼 가치가 있는 별도의 정원 지역과 큰 연못이 있는 상당히 넓습니다. 처음에는 가이드가 있지만 원하는 경우 그룹을 떠나 스스로 둘러볼 수 있습니다.
8,178,178,178,5.0,"interesting palace to learn about ancient korea and its architecture.the english tour guide to the hills and valleys of the secret garden was a superb insight to the life and times of the early dynasties. the palace is spread over a wide area, which is mainly flat, but there are some steep areas, so allow plenty time to visit.crowds,queues,heat not a problem in september.",178,ChangDeokgung,8,"고대 한국과 그 건축에 대해 배울 수있는 흥미로운 궁전. 비밀 정원의 언덕과 계곡에 대한 영어 투어 가이드는 초기 왕조의 삶과 시대에 대한 훌륭한 통찰력이었습니다. 궁전은 주로 평평한 넓은 지역에 퍼져 있지만 일부 가파른 지역이 있으므로 방문하는 데 충분한 시간을 허용하십시오. 군중, 대기열, 열은 9 월에 문제가되지 않습니다."
9,196,196,196,4.0,"this palace is huge. slightly bigger in area then gyeongbokgung but this is a unesco heritage site. a secret garden tour cost additional 5000w to the entrance fees of 3000w. the tour is conducted hourly and take you into the inner part of the palace compound with a guide who gives further insight and explanation. here you will be able to see more pavilion, ponds and gardens. the tour takes 90 minutes and involved walking up and down the hilly path.",196,ChangDeokgung,9,"이 궁전은 거대하다. 경복궁보다 면적이 약간 더 크지만 이것은 유네스코 문화 유산입니다. 시크릿 가든 투어는 입장료 3000w에 5000w 추가 비용이 듭니다. 투어는 매시간 진행되며 더 자세한 통찰력과 설명을 제공하는 가이드와 함께 궁전 내부로 안내합니다. 여기에서 더 많은 정자, 연못 및 정원을 볼 수 있습니다. 투어는 90분이 소요되며 언덕이 많은 길을 오르락내리락해야 합니다."
